Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
0.0,263452,148,1780.1,1216.0,1152,11105,2164.9,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_kernel_impl(at::TensorIteratorBase &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float, float, float) (instance 1)], std::array<char *, (unsigned long long)4>>(int, T2, T3)"
0.0,262908,56,4694.8,2336.5,2209,21346,5520.4,_compute_body_matrices_27760750_cuda_kernel_forward
0.0,262370,48,5466.0,4033.0,3937,39620,6763.7,_nxn_broadphase__locals__kernel_8636c784_cuda_kernel_forward
0.0,253283,150,1688.6,1152.0,1088,11585,2015.5,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::neg_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], std::array<char *, (unsigned long long)2>>(int, T2, T3)"
0.0,245980,96,2562.3,1984.5,1792,32644,3904.9,_scatter_scalar_state_mapped_0c5e1c3c_cuda_kernel_forward
0.0,245438,48,5113.3,2432.0,2336,82633,13325.8,_copy_mapped_particle_state_fc98a109_cuda_kernel_forward
0.0,244920,97,2524.9,1760.0,1632,35139,3981.9,_reset_proxy_values_masked_kernel_43f5823e_cuda_kernel_forward
0.0,242744,48,5057.2,3920.5,3776,35715,5437.9,_limit_slide_hinge__locals__kernel_f6df994e_cuda_kernel_forward
0.0,242202,48,5045.9,4864.5,3008,29539,5002.3,_apply_ft_1667a928_cuda_kernel_forward
0.0,236121,28,8432.9,11729.0,1216,18690,6232.4,"void at::native::<unnamed>::distribution_elementwise_grid_stride_kernel<float, (int)4, void at::native::templates::cuda::uniform_and_transform<float, float, at::CUDAGeneratorImpl *, void at::native::templates::cuda::uniform_kernel<at::CUDAGeneratorImpl *>(at::TensorIteratorBase &, double, double, T1)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(float) (instance 1)]>(at::TensorIteratorBase &, T3, T4)::[lambda(curandStatePhilox4_32_10 *) (instance 2)], void at::native::<unnamed>::distribution_nullary_kernel<float, float, float4, at::CUDAGeneratorImpl *, void at::native::templates::cuda::uniform_and_transform<float, float, at::CUDAGeneratorImpl *, void at::native::templates::cuda::uniform_kernel<at::CUDAGeneratorImpl *>(at::TensorIteratorBase &, double, double, T1)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(float) (instance 1)]>(at::TensorIteratorBase &, T3, T4)::[lambda(curandStatePhilox4_32_10 *) (instance 2)], void at::native::templates::cuda::uniform_kernel<at::CUDAGeneratorImpl *>(at::TensorIteratorBase &, double, double, T1)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(float) (instance 1)]>(at::TensorIteratorBase &, T4, const T5 &, T6)::[lambda(int, float) (instance 1)]>(long long, at::PhiloxCudaState, T3, T4)"
