Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
1.5,8627091,2928,2946.4,1857.0,1824,45509,3651.1,apply_truncation_ts_94baa11a_cuda_kernel_forward
1.3,7567575,48,157657.8,74152.0,73416,1098359,279991.0,create_soft_edge_contacts_09df4d83_cuda_kernel_forward
1.3,7492714,8,936589.3,3488.0,1504,7455432,2634018.0,"void memtile_kernel_by_value<(unsigned long long)256>(void *, FillValue<T1>, unsigned long long, unsigned long long)"
1.1,6505027,98,66377.8,53109.5,2560,684298,152003.9,eval_articulation_fk_6c60ba16_cuda_kernel_forward
1.0,5878367,132,44533.1,45317.0,27363,61574,9798.6,_compute_body_jac_row_6eb5882a_cuda_kernel_forward
1.0,5580380,48,116257.9,56390.0,56166,795062,200773.4,create_soft_face_contacts_a28c1f93_cuda_kernel_forward
0.9,5248220,182,28836.4,28739.0,28579,32868,526.1,_tile_cholesky_solve_block__locals__kernel_413936bd_cuda_kernel_forward
0.9,5033106,3273,1537.8,928.0,768,143535,4508.3,"void memtile_value_kernel<int>(T1 *, T1, unsigned long long)"
0.9,4850994,136,35669.1,36324.0,5857,57542,15250.0,"void cuBQL::cuda::refit_run<float, (int)3>(cuBQL::BinaryBVH<T1, T2>, unsigned int *, const cuBQL::box_t<T1, T2> *)"
0.8,4660244,844,5521.6,2688.0,2592,47397,7735.3,"void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void at::native::index_kernel_impl<at::native::OpaqueType<(int)4>>(at::TensorIteratorBase &, c10::ArrayRef<long long>, c10::ArrayRef<long long>)::[lambda(char *, const char *, long long) (instance 1)]>(at::TensorIteratorBase &, c10::ArrayRef<long long>, c10::ArrayRef<long long>, const T1 &, bool)::[lambda(int) (instance 1)]>(long long, T3)"
0.8,4266764,68,62746.5,63335.0,8225,95082,27640.1,"void cub::CUB_200802_SM_520_600_610_700_750_800_860_890_900_1000_1200_1210::DeviceRadixSortSingleTileKernel<cub::CUB_200802_SM_520_600_610_700_750_800_860_890_900_1000_1200_1210::detail::radix::policy_hub<unsigned long long, cub::CUB_200802_SM_520_600_610_700_750_800_860_890_900_1000_1200_1210::NullType, unsigned int>::Policy1000, (bool)0, unsigned long long, cub::CUB_200802_SM_520_600_610_700_750_800_860_890_900_1000_1200_1210::NullType, unsigned int, cub::CUB_200802_SM_520_600_610_700_750_800_860_890_900_1000_1200_1210::detail::identity_decomposer_t>(const T3 *, T3 *, const T4 *, T4 *, T5, int, int, T6)"
0.6,3637447,607,5992.5,6016.0,1120,9089,2422.0,"void cuBQL::sahBuilder_impl::closeOpenNodes<float, (int)3>(cuBQL::gpuBuilder_impl::BuildState *, cuBQL::gpuBuilder_impl::NodeState *, cuBQL::sahBuilder_impl::TempNode<cuBQL::box_t<T1, T2>> *, int)"
0.6,3566470,52,68586.0,27203.0,26275,316259,98275.8,_kinematics_branch_95f8028e_cuda_kernel_forward
0.6,3526686,572,6165.5,2816.0,1312,30467,8960.2,_crb_accumulate_073a11b8_cuda_kernel_forward
0.5,2714439,908,2989.5,1280.0,1248,29379,4477.5,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(long long) (instance 1)], std::array<char *, (unsigned long long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T4, T5, T6, T7)"
0.4,2471596,92,26865.2,19058.0,6785,220376,46002.4,_linesearch_iterative_kernel__locals__kernel_a5beb2cb_cuda_kernel_forward
0.4,2370494,132,17958.3,17954.0,17761,19330,189.0,_compute_body_A_diag_entry_d84c280f_cuda_kernel_forward
0.4,2277081,48,47439.2,14401.5,12673,567262,114704.1,compute_shape_aabbs_3132aed6_cuda_kernel_forward
0.4,2276602,572,3980.1,1760.0,1248,18722,5363.3,_subtree_com_acc_350f0560_cuda_kernel_forward
0.3,1881514,528,3563.5,2144.0,1184,21986,5132.4,_cfrc_backward_72237d38_cuda_kernel_forward
0.3,1874999,997,1880.6,1184.0,1120,21379,2387.7,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<float>, std::array<char *, (unsigned long long)3>>(int, T2, T3)"
0.3,1838276,48,38297.4,24834.0,24770,239962,52590.9,_harvest_vbd_body_particle_contact_forces_on_proxy_bodies_kernel_d68af8d2_cuda_kernel_forward
0.3,1681367,48,35028.5,18690.0,17474,233018,55302.2,create_narrow_phase_primitive_kernel__locals__narrow_phase_primitive_kernel_81a38a1a_cuda_kernel_forward
0.3,1556799,582,2674.9,1600.0,1568,25379,3433.2,_copy_reset_view_rows_kernel_ebbfec29_cuda_kernel_forward
0.3,1511653,480,3149.3,1792.0,1760,39844,4522.2,update_duals_body_body_contacts_7c780c76_cuda_kernel_forward
0.3,1468317,48,30589.9,18050.0,17249,171986,42314.0,init_body_particle_contacts_3792bb31_cuda_kernel_forward
0.3,1456762,48,30349.2,17953.0,17569,167282,41623.9,build_body_particle_contact_lists_8cacaa6b_cuda_kernel_forward
0.2,1277322,48,26610.9,7056.5,6273,305857,66691.1,forward_step_80a3fe76_cuda_kernel_forward
0.2,1260714,48,26264.9,14161.5,13505,163442,40595.0,_comvel_branch_0f933c58_cuda_kernel_forward
0.2,1233260,388,3178.5,1696.0,1568,39077,4810.9,_copy_reset_view_rows_kernel_a125248c_cuda_kernel_forward
0.2,1180092,140,8429.2,4864.0,3489,86121,14979.0,_update_gradient_JTDAJ_dense_tiled__locals__kernel_a05bba6c_cuda_kernel_forward
0.2,1127506,140,8053.6,5168.5,4673,56422,10531.1,_update_constraint_efc__locals__kernel_9c16a648_cuda_kernel_forward
0.2,1007981,388,2597.9,1568.0,1536,18146,3243.1,_zero_reset_view_rows_kernel_0eae9346_cuda_kernel_forward
0.2,997898,140,7127.8,4321.0,3968,44549,10035.8,_update_gradient_cholesky__locals__kernel_d6d4c322_cuda_kernel_forward
0.2,984872,418,2356.2,1280.0,1152,21698,3196.3,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, std::array<char *, (unsigned long long)3>>(int, T2, T3)"
0.2,979689,32,30615.3,30500.0,30467,32291,375.4,_copy_actuator_moment_4af7079d_cuda_kernel_forward
0.2,970179,480,2021.2,1280.0,1248,12418,2516.4,update_duals_body_particle_contacts_19f80f8b_cuda_kernel_forward
0.2,913056,291,3137.6,1696.0,1632,35140,4694.0,_copy_reset_view_rows_kernel_619bffca_cuda_kernel_forward
0.2,866330,136,6370.1,6529.0,1120,9633,2647.2,"void cuBQL::cuda::refit_init<float, (int)3>(const cuBQL::BinaryBVH<T1, T2>::Node *, unsigned int *, int)"
0.1,840569,48,17511.9,9457.0,9121,107052,26960.6,_cacc_branch_ffe1d6c4_cuda_kernel_forward
0.1,772340,68,11357.9,11297.0,2080,16546,4461.3,"void cuBQL::sahBuilder_impl::initPrims<float, (int)3>(cuBQL::sahBuilder_impl::TempNode<cuBQL::box_t<T1, T2>> *, cuBQL::gpuBuilder_impl::PrimState *, const cuBQL::box_t<T1, T2> *, unsigned int)"
0.1,769563,140,5496.9,3776.0,3232,30948,6765.1,_update_gradient_JTCJ_dense_f52c2ac2_cuda_kernel_forward
