attempt,optimizer_updates,physical_seed,candidate_mode,noise_seed,requested_noise_rms_m,noise_scale,noise_halvings,inertial_base_fallback,initializer_fallback,candidate_from_previous_rms_m,valid,min_gauss_j,min_center_j,min_center_singular_ratio,energy_before_joule,energy_after_joule,normalized_loss,energy_ratio,descent,gradient_norm,nonzero_gradient_tensors,status,elapsed_seconds
54,54,15,inertial,234962524,0,0,0,False,False,0.0011274326712872513,True,0.9185304641723633,0.9370428919792175,0.7944904565811157,192.07884216308594,187.48590087890625,-0.02391175015663629,0.9760882498433637,True,5.185442924499512,72,complete,15.97912485152483
55,55,13,noisy_inertial,2207113539,0.0020401292142830313,1.0,0,False,False,0.0019451498894258506,True,0.9642012715339661,0.9752917289733887,0.8981246948242188,45.777774810791016,43.667781829833984,-0.04609208266845795,0.953907917331542,True,25.281545639038086,72,complete,16.262788962572813
56,56,9,inertial,3582801857,0,0,0,False,False,0.0014337688819244746,True,0.8439627885818481,0.8621700406074524,0.7785450220108032,135.56272888183594,131.68824768066406,-0.02858072593499567,0.9714192740650043,True,2.961942434310913,72,complete,16.403764102607965
57,57,8,inertial,3817965257,0,0,0,False,False,0.0009260308726487296,True,0.9115656614303589,0.9206082224845886,0.8845375180244446,27.403196334838867,27.83669662475586,0.015819333066846096,1.0158193330668461,False,6.939884185791016,72,complete,17.220075011253357
58,58,14,inertial,3540242810,0,0,0,False,False,0.0008464528758327542,True,0.8614071607589722,0.8763378858566284,0.8074150085449219,73.98258209228516,72.41192626953125,-0.021230075760192924,0.978769924239807,True,4.3926825523376465,72,complete,17.363761875778437
59,59,12,noisy_inertial,407478012,0.001467263944828602,1.0,0,False,False,0.002214112926092198,True,0.84814453125,0.8677951693534851,0.7681998610496521,136.6723175048828,140.6805877685547,0.02932759418181867,1.0293275941818187,False,6.675655364990234,72,complete,17.65778372064233
60,60,0,inertial,3331231726,0,0,0,False,False,0.002129038930236235,True,0.8889185190200806,0.8984441161155701,0.868065595626831,28.15040397644043,27.83824920654297,-0.011088820258448468,0.9889111797415515,True,12.019556999206543,72,complete,17.798924416303635
61,61,10,inertial,477943269,0,0,0,False,False,0.0010061900837447055,True,0.8544186353683472,0.8733453750610352,0.797371506690979,98.45536041259766,100.01792907714844,0.0158708338276607,1.0158708338276607,False,4.558889865875244,72,complete,17.94009442999959
62,62,1,rigid,783822956,0,0,0,False,False,0.0003865228065328565,True,0.8406973481178284,0.8732662200927734,0.7676377892494202,192.6739044189453,189.56182861328125,-0.0161520358195329,0.983847964180467,True,4.607845783233643,72,complete,18.087857149541378
63,63,7,noisy_inertial,1865501034,0.0012233502735462325,1.0,0,False,False,0.0018309099471711813,True,0.8922148942947388,0.8996760845184326,0.8275772929191589,54.67195129394531,55.431793212890625,0.013898203758267209,1.0138982037582671,False,16.52583122253418,72,complete,18.372094083577394
64,64,5,inertial,1712043654,0,0,0,False,False,0.0008877445040827954,True,0.8321133852005005,0.8451964855194092,0.819669783115387,138.38720703125,132.71336364746094,-0.040999768009681845,0.9590002319903181,True,4.267196178436279,72,complete,18.51287665218115
