Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
0.0,86276,48,1797.4,1536.0,1504,13378,1707.8,_qfrc_actuator_6de5c51c_cuda_kernel_forward
0.0,82663,48,1722.1,1664.0,1600,1984,114.4,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 11)]::operator ()() const::[lambda(bool) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
0.0,79688,48,1660.2,1376.0,1312,14018,1822.8,_solve_init_dof__locals__kernel_70bb5915_cuda_kernel_forward
0.0,77995,42,1857.0,1568.0,1248,14050,1929.4,"void at_cuda_detail::cub::DeviceReduceSingleTileKernel<at_cuda_detail::cub::DeviceReducePolicy<int, unsigned long long, cuda::std::__4::plus<void>>::Policy600, at_cuda_detail::cub::TransformInputIterator<bool, at::native::<unnamed>::NonZeroOp<bool>, const bool *, long long>, int *, unsigned long long, cuda::std::__4::plus<void>, int, int, cuda::std::__4::__identity>(T2, T3, T4, T5, T6, T8)"
0.0,77831,3,25943.7,26114.0,25538,26179,352.8,repeat_array_kernel_110bb2ab_cuda_kernel_forward
0.0,76488,2,38244.0,38244.0,36708,39780,2172.2,sync_qpos0_kernel_4ee6d78c_cuda_kernel_forward
0.0,75657,48,1576.2,1344.0,1312,11969,1532.7,_qfrc_smooth__locals__kernel_33de72f1_cuda_kernel_forward
0.0,75240,4,18810.0,18754.0,18018,19714,869.9,_finalize_dof_invweight0_966ce0d5_cuda_kernel_forward
0.0,75080,2,37540.0,37540.0,26979,48101,14935.5,update_jnt_properties_kernel_0897daf7_cuda_kernel_forward
0.0,73192,1,73192.0,73192.0,73192,73192,0.0,update_body_inertia_kernel_f58a19e3_cuda_kernel_forward
0.0,70477,48,1468.3,1248.0,1216,11330,1454.1,_next_velocity_d66c2f53_cuda_kernel_forward
0.0,70248,1,70248.0,70248.0,70248,70248,0.0,update_geom_properties_kernel_170f7df2_cuda_kernel_forward
